DateUpdated,AgeGroups,Total cases,Confirmed cases,Probable cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
05/27/2021,0-9,21266,19931,1335,5649,1,1,0
05/27/2021,10-19,41363,37591,3772,9128,3,3,0
05/27/2021,20-29,60808,54548,6260,13066,10,10,0
05/27/2021,30-39,53926,48970,4956,12189,41,39,2
05/27/2021,40-49,48453,44467,3986,11196,150,119,31
05/27/2021,50-59,51855,48017,3838,9984,453,383,70
05/27/2021,60-69,34355,32182,2173,7798,1084,934,150
05/27/2021,70-79,17628,16587,1041,6528,1846,1562,284
05/27/2021,80 and older,16522,15071,1451,10005,4642,3720,922
05/28/2021,0-9,21298,19963,1335,5658,1,1,0
05/28/2021,10-19,41408,37631,3777,9138,3,3,0
05/28/2021,20-29,60837,54570,6267,13072,10,10,0
05/28/2021,30-39,53964,48995,4969,12197,42,40,2
05/28/2021,40-49,48486,44498,3988,11203,150,119,31
05/28/2021,50-59,51876,48034,3842,9988,454,384,70
05/28/2021,60-69,34361,32185,2176,7799,1087,936,151
05/28/2021,70-79,17631,16588,1043,6530,1847,1563,284
05/28/2021,80 and older,16520,15069,1451,10004,4644,3721,923
06/01/2021,0-9,21335,19988,1347,5667,1,1,0
06/01/2021,10-19,41438,37650,3788,9145,3,3,0
06/01/2021,20-29,60872,54599,6273,13080,10,10,0
06/01/2021,30-39,54011,49039,4972,12208,42,40,2
06/01/2021,40-49,48518,44522,3996,11211,151,119,32
06/01/2021,50-59,51887,48040,3847,9990,457,386,71
06/01/2021,60-69,34375,32198,2177,7802,1088,937,151
06/01/2021,70-79,17638,16593,1045,6532,1847,1563,284
06/01/2021,80 and older,16530,15077,1453,10010,4645,3721,924
06/02/2021,0-9,21343,19992,1351,5670,1,1,0
06/02/2021,10-19,41455,37663,3792,9149,3,3,0
06/02/2021,20-29,60883,54602,6281,13082,10,10,0
06/02/2021,30-39,54028,49045,4983,12212,42,40,2
06/02/2021,40-49,48529,44531,3998,11213,151,119,32
06/02/2021,50-59,51916,48065,3851,9996,459,388,71
06/02/2021,60-69,34384,32204,2180,7804,1088,937,151
06/02/2021,70-79,17643,16598,1045,6534,1848,1564,284
06/02/2021,80 and older,16539,15085,1454,10015,4645,3721,924
06/03/2021,0-9,21359,20006,1353,5674,1,1,0
06/03/2021,10-19,41468,37673,3795,9151,3,3,0
06/03/2021,20-29,60899,54619,6280,13086,10,10,0
06/03/2021,30-39,54031,49046,4985,12212,42,40,2
06/03/2021,40-49,48537,44536,4001,11215,150,118,32
06/03/2021,50-59,51918,48066,3852,9996,458,387,71
06/03/2021,60-69,34385,32206,2179,7805,1088,937,151
06/03/2021,70-79,17650,16602,1048,6537,1848,1563,285
06/03/2021,80 and older,16540,15083,1457,10016,4645,3718,927
06/04/2021,0-9,21378,20017,1361,5679,1,1,0
06/04/2021,10-19,41484,37685,3799,9155,3,3,0
06/04/2021,20-29,60934,54631,6303,13093,10,10,0
